Plant_Name,English name,Finnish name,Section,hankitaID,taksoni_nro,Status,Notes,Check,,,,
Acer platanoides,,Metsävaahtera,"V-4 	PERGOLA",37732,451,OSASTOLLA,,"V-4 	PERGOLA",,,,
Acer platanoides,,Metsävaahtera,"V-5 	KAHVIHUONEEN SEINUSTA JA VERSTAAN ETU",25717,451,OSASTOLLA,,"V-5 	KAHVIHUONEEN SEINUSTA JA VERSTAAN ETU",,,,
Acer pseudosieboldianum,,Koreanvaahtera,"R-O 	ARBORETUM",36936,454,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer rubrum,,Punavaahtera,"R-O 	ARBORETUM",25738,457,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer rubrum,,Punavaahtera,"R-O 	ARBORETUM",25739,457,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer rubrum,,Punavaahtera,"R-O 	ARBORETUM",25740,457,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer rufinerve,,,"R-O 	ARBORETUM",28454,458,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer saccharinum,,Hopeavaahtera,"R-O 	ARBORETUM",8184,459,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer saccharum,,Sokerivaahtera,"H-O 	HYÃ–TYKASVI OSASTO",28902,462,OSASTOLLA,,"H-O 	HYÃ–TYKASVI OSASTO",,,,
Acer saccharum,,Sokerivaahtera,"R-O 	ARBORETUM",25741,462,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer saccharum,,Sokerivaahtera,"R-O 	ARBORETUM",25742,462,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer spicatum,,Tähkävaahtera,"R-O 	ARBORETUM",29273,464,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer spicatum,,Tähkävaahtera,"R-O 	ARBORETUM",50506,464,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"P-D 	",19288,465,OSASTOLLA,,"P-D 	",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"P-D 	",21515,465,OSASTOLLA,,"P-D 	",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"P-D 	",23272,465,OSASTOLLA,,"P-D 	",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"R-O 	ARBORETUM",25708,465,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"R-O 	ARBORETUM",25710,465,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"R-O 	ARBORETUM",25711,465,OSASTOLLA,,"R-O 	ARBORETUM",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"S-O 	SYSTEMAATTINEN OSASTO",25608,465,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"S-O 	SYSTEMAATTINEN OSASTO",36932,465,OSASTOLLA,,"S-O 	SYSTEMAATTINEN OSASTO",,,,
Acer tataricum subsp. ginnala,,Mongolianvaahtera,"V-8 	KESKUSNURMIKKO",34575,465,OSASTOLLA,,"V-8 	KESKUSNURMIKKO",,,,
Acer tataricum subsp. semenowii,,,"R-O 	ARBORETUM",25713,466,OSASTOLLA,,"R-O 	ARBORETUM",,,,
